"time","e","P","I","D","y_1","y_2","u_1","u_2"
0,0,0,0,0,0,0,0,0
0.01,-9.05133e-09,-0,-0,-0,0,9.05133e-09,0,-0
0.02,-1.18399e-08,-0,-0,-0,0,1.18399e-08,0,-0
0.03,-1.55954e-08,-0,-0,-0,0,1.55954e-08,0,-0
0.04,-1.8426e-08,-0,-0,-0,0,1.8426e-08,0,-0
0.05,-2.09957e-08,-0,-0,-0,0,2.09957e-08,0,-0
0.06,-2.3322e-08,-0,-0,-0,0,2.3322e-08,0,-0
0.07,-2.53176e-08,-0,-0,-0,0,2.53176e-08,0,-0
0.08,-2.70918e-08,-0,-0,-0,0,2.70918e-08,0,-0
0.09,-2.86222e-08,-0,-0,-0,0,2.86222e-08,0,-0
0.1,-3.00146e-08,-0,-0,-0,0,3.00146e-08,0,-0
0.11,-3.12386e-08,-0,-0,-0,0,3.12386e-08,0,-0
0.12,-3.23618e-08,-0,-0,-0,0,3.23618e-08,0,-0
0.13,-3.3343e-08,-0,-0,-0,0,3.3343e-08,0,-0
0.14,-3.42503e-08,-0,-0,-0,0,3.42503e-08,0,-0
0.15,-3.50362e-08,-0,-0,-0,0,3.50362e-08,0,-0
0.16,-3.57688e-08,-0,-0,-0,0,3.57688e-08,0,-0
0.17,-3.63974e-08,-0,-0,-0,0,3.63974e-08,0,-0
0.18,-3.69783e-08,-0,-0,-0,0,3.69783e-08,0,-0
0.19,-3.7468e-08,-0,-0,-0,0,3.7468e-08,0,-0
0.2,-3.79165e-08,-0,-0,-0,0,3.79165e-08,0,-0
0.21,-3.82945e-08,-0,-0,-0,0,3.82945e-08,0,-0
0.22,-3.86435e-08,-0,-0,-0,0,3.86435e-08,0,-0
0.23,-3.89258e-08,-0,-0,-0,0,3.89258e-08,0,-0
0.24,-3.91913e-08,-0,-0,-0,0,3.91913e-08,0,-0
0.25,-3.94059e-08,-0,-0,-0,0,3.94059e-08,0,-0
0.26,-3.96076e-08,-0,-0,-0,0,3.96076e-08,0,-0
0.27,-3.97713e-08,-0,-0,-0,0,3.97713e-08,0,-0
0.28,-3.99337e-08,-0,-0,-0,0,3.99337e-08,0,-0
0.29,-4.00712e-08,-0,-0,-0,0,4.00712e-08,0,-0
0.3,-4.02104e-08,-0,-0,-0,0,4.02104e-08,0,-0
0.31,-4.03345e-08,-0,-0,-0,0,4.03345e-08,0,-0
0.32,-4.04628e-08,-0,-0,-0,0,4.04628e-08,0,-0
0.33,-4.05827e-08,-0,-0,-0,0,4.05827e-08,0,-0
0.34,-4.07063e-08,-0,-0,-0,0,4.07063e-08,0,-0
0.35,-4.08195e-08,-0,-0,-0,0,4.08195e-08,0,-0
0.36,-4.09383e-08,-0,-0,-0,0,4.09383e-08,0,-0
0.37,-4.10412e-08,-0,-0,-0,0,4.10412e-08,0,-0
0.38,-4.11401e-08,-0,-0,-0,0,4.11401e-08,0,-0
0.39,-4.12206e-08,-0,-0,-0,0,4.12206e-08,0,-0
0.4,-4.12893e-08,-0,-0,-0,0,4.12893e-08,0,-0
0.41,-4.13364e-08,-0,-0,-0,0,4.13364e-08,0,-0
0.42,-4.13708e-08,-0,-0,-0,0,4.13708e-08,0,-0
0.43,-4.13789e-08,-0,-0,-0,0,4.13789e-08,0,-0
0.44,-4.13703e-08,-0,-0,0,0,4.13703e-08,0,0
0.45,-4.13379e-08,-0,-0,0,0,4.13379e-08,0,0
0.46,-4.12913e-08,-0,-0,0,0,4.12913e-08,0,0
0.47,-4.1228e-08,-0,-0,0,0,4.1228e-08,0,0
0.48,-4.11575e-08,-0,-0,0,0,4.11575e-08,0,0
0.49,-4.10791e-08,-0,-0,0,0,4.10791e-08,0,0
0.5,-4.10011e-08,-0,-0,0,0,4.10011e-08,0,0
0.51,-4.09264e-08,-0,-0,0,0,4.09264e-08,0,0
0.52,-4.08631e-08,-0,-0,0,0,4.08631e-08,0,0
0.53,-4.08132e-08,-0,-0,0,0,4.08132e-08,0,0
0.54,-4.07812e-08,-0,-0,0,0,4.07812e-08,0,0
0.55,-4.07685e-08,-0,-0,0,0,4.07685e-08,0,0
0.56,-4.07758e-08,-0,-0,-0,0,4.07758e-08,0,-0
0.57,-4.08015e-08,-0,-0,-0,0,4.08015e-08,0,-0
0.58,-4.08437e-08,-0,-0,-0,0,4.08437e-08,0,-0
0.59,-4.08954e-08,-0,-0,-0,0,4.08954e-08,0,-0
0.6,-4.09563e-08,-0,-0,-0,0,4.09563e-08,0,-0
0.61,-4.10155e-08,-0,-0,-0,0,4.10155e-08,0,-0
0.62,-4.10676e-08,-0,-0,-0,0,4.10676e-08,0,-0
0.63,-4.11025e-08,-0,-0,-0,0,4.11025e-08,0,-0
0.64,-4.11173e-08,-0,-0,-0,0,4.11173e-08,0,-0
0.65,-4.11018e-08,-0,-0,0,0,4.11018e-08,0,0
0.66,-4.10526e-08,-0,-0,0,0,4.10526e-08,0,0
0.67,-4.09706e-08,-0,-0,0,0,4.09706e-08,0,0
