# Force         
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
0.0005           3.02515709e-01 2.34595301e-05 1.26941320e-14 2.90122793e-01 2.41189770e-05 -1.01078867e-23 1.23929164e-02 -6.59446916e-07 1.26941320e-14
0.001            -6.23375085e-02 -2.12031971e-05 1.26941320e-14 -7.16017099e-02 -2.04834674e-05 3.50555555e-24 9.26420142e-03 -7.19729754e-07 1.26941320e-14
0.0015           -2.65267201e-02 4.68858279e-05 1.26941320e-14 -3.31492465e-02 4.65202188e-05 2.28784628e-24 6.62252637e-03 3.65609037e-07 1.26941320e-14
0.002            7.17407281e-03 2.01107346e-05 1.26941320e-14 2.34054733e-03 1.97141229e-05 5.43035445e-25 4.83352548e-03 3.96611602e-07 1.26941320e-14
0.0025           7.19883330e-03 1.07906404e-05 1.26941320e-14 2.91753642e-03 1.15641889e-05 5.12987795e-25 4.28129688e-03 -7.73548562e-07 1.26941320e-14
0.003            6.34266317e-03 1.10141519e-05 1.26941320e-14 2.43812262e-03 1.08117353e-05 5.92615454e-25 3.90454055e-03 2.02416611e-07 1.26941320e-14
0.0035           6.37395924e-03 1.20565112e-05 1.26941320e-14 2.76675997e-03 1.07642908e-05 5.66738148e-25 3.60719927e-03 1.29222042e-06 1.26941320e-14
0.004            6.26678205e-03 1.13262473e-05 1.26941320e-14 2.89356701e-03 1.02975939e-05 5.45280359e-25 3.37321505e-03 1.02865340e-06 1.26941320e-14
0.0045           6.13520873e-03 1.55775988e-05 1.26941320e-14 2.95206039e-03 1.45134895e-05 5.33624710e-25 3.18314833e-03 1.06410925e-06 1.26941320e-14
0.005            6.01221110e-03 1.49049909e-05 1.26941320e-14 2.98666020e-03 1.37825617e-05 5.24009682e-25 3.02555091e-03 1.12242924e-06 1.26941320e-14
0.0055           5.90363232e-03 1.44378332e-05 1.26941320e-14 3.01144816e-03 1.32632147e-05 5.15622896e-25 2.89218415e-03 1.17461845e-06 1.26941320e-14
0.006            5.81233369e-03 1.46155773e-05 1.26941320e-14 3.03442690e-03 1.33898824e-05 5.07596580e-25 2.77790679e-03 1.22569486e-06 1.26941320e-14
0.0065           5.73494675e-03 1.49589034e-05 1.26941320e-14 3.05621063e-03 1.36775085e-05 5.00169755e-25 2.67873612e-03 1.28139486e-06 1.26941320e-14
0.007            5.66715852e-03 1.39993640e-05 1.26941320e-14 3.07558351e-03 1.26754629e-05 4.94582136e-25 2.59157501e-03 1.32390110e-06 1.26941320e-14
0.0075           5.60854581e-03 1.39279725e-05 1.26941320e-14 3.09458024e-03 1.25713126e-05 4.89101495e-25 2.51396557e-03 1.35665992e-06 1.26941320e-14
