# Moment        
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
0.0005           -1.17297651e-05 1.51257854e-01 1.97796751e-09 -1.20594885e-05 1.45061396e-01 2.14123420e-09 3.29723458e-07 6.19645821e-03 -1.63266698e-10
0.001            1.06015986e-05 -3.11687543e-02 -7.11287997e-10 1.02417337e-05 -3.58008550e-02 -9.28522792e-10 3.59864877e-07 4.63210071e-03 2.17234795e-10
0.0015           -2.34429139e-05 -1.32633601e-02 -3.00640865e-11 -2.32601094e-05 -1.65746233e-02 -5.62093464e-10 -1.82804519e-07 3.31126318e-03 5.32029378e-10
0.002            -1.00553673e-05 3.58703641e-03 2.30709338e-10 -9.85706147e-06 1.17027367e-03 -2.96234057e-10 -1.98305801e-07 2.41676274e-03 5.26943395e-10
0.0025           -5.39532019e-06 3.59941665e-03 1.83030082e-10 -5.78209447e-06 1.45876821e-03 -2.40183311e-10 3.86774281e-07 2.14064844e-03 4.23213394e-10
0.003            -5.50707597e-06 3.17133158e-03 2.00333012e-10 -5.40586767e-06 1.21906131e-03 -2.34667577e-10 -1.01208306e-07 1.95227027e-03 4.35000589e-10
0.0035           -6.02825559e-06 3.18697962e-03 1.60163352e-10 -5.38214538e-06 1.38337998e-03 -2.32774907e-10 -6.46110212e-07 1.80359964e-03 3.92938258e-10
0.004            -5.66312366e-06 3.13339103e-03 1.34395446e-10 -5.14879696e-06 1.44678350e-03 -2.21380016e-10 -5.14326698e-07 1.68660752e-03 3.55775462e-10
0.0045           -7.78879938e-06 3.06760436e-03 1.09473608e-10 -7.25674475e-06 1.47603020e-03 -2.20804188e-10 -5.32054627e-07 1.59157417e-03 3.30277796e-10
0.005            -7.45249545e-06 3.00610555e-03 8.95134456e-11 -6.89128083e-06 1.49333010e-03 -2.14756458e-10 -5.61214622e-07 1.51277545e-03 3.04269904e-10
0.0055           -7.21891659e-06 2.95181616e-03 7.96035730e-11 -6.63160736e-06 1.50572408e-03 -2.09436872e-10 -5.87309225e-07 1.44609208e-03 2.89040445e-10
0.006            -7.30778864e-06 2.90616685e-03 7.43923374e-11 -6.69494121e-06 1.51721345e-03 -2.04937679e-10 -6.12847432e-07 1.38895340e-03 2.79330016e-10
0.0065           -7.47945169e-06 2.86747338e-03 7.25834958e-11 -6.83875426e-06 1.52810532e-03 -2.00716380e-10 -6.40697428e-07 1.33936806e-03 2.73299876e-10
0.007            -6.99968199e-06 2.83357926e-03 7.25845477e-11 -6.33773144e-06 1.53779175e-03 -1.96430182e-10 -6.61950550e-07 1.29578751e-03 2.69014730e-10
0.0075           -6.96398624e-06 2.80427291e-03 7.65172770e-11 -6.28565628e-06 1.54729012e-03 -1.92798068e-10 -6.78329958e-07 1.25698279e-03 2.69315345e-10
0.008            -6.82405213e-06 2.78039935e-03 7.88320154e-11 -6.13329737e-06 1.55799060e-03 -1.89174223e-10 -6.90754760e-07 1.22240875e-03 2.68006238e-10
0.0085           -6.39290038e-06 2.76011412e-03 7.66477551e-11 -5.69823761e-06 1.56893604e-03 -1.85713248e-10 -6.94662764e-07 1.19117809e-03 2.62361003e-10
0.009            -6.11974188e-06 2.74377724e-03 8.28446532e-11 -5.42252806e-06 1.58079293e-03 -1.82214041e-10 -6.97213820e-07 1.16298431e-03 2.65058694e-10
0.0095           -5.69747541e-06 2.73010280e-03 9.06673908e-11 -5.00230662e-06 1.59268276e-03 -1.79281425e-10 -6.95168794e-07 1.13742005e-03 2.69948816e-10
0.01             -5.59613115e-06 2.71956106e-03 9.38241892e-11 -4.90509908e-06 1.60536553e-03 -1.76213958e-10 -6.91032074e-07 1.11419554e-03 2.70038147e-10
0.0105           -5.37968508e-06 2.71116420e-03 1.06421866e-10 -4.69262989e-06 1.61826482e-03 -1.73331129e-10 -6.87055181e-07 1.09289938e-03 2.79752995e-10
0.011            -5.34657501e-06 2.70441993e-03 1.18105344e-10 -4.66156092e-06 1.63107690e-03 -1.70427461e-10 -6.85014093e-07 1.07334303e-03 2.88532805e-10
0.0115           -5.31405377e-06 2.69978669e-03 1.40128984e-10 -4.62656827e-06 1.64461770e-03 -1.67382784e-10 -6.87485503e-07 1.05516899e-03 3.07511768e-10
0.012            -5.26843444e-06 2.69668637e-03 1.39521078e-10 -4.58275074e-06 1.65841339e-03 -1.64386880e-10 -6.85683696e-07 1.03827298e-03 3.03907958e-10
0.0125           -5.41837208e-06 2.69514508e-03 1.48001230e-10 -4.73243347e-06 1.67255264e-03 -1.61365503e-10 -6.85938612e-07 1.02259244e-03 3.09366733e-10
0.013            -5.47650727e-06 2.69469840e-03 1.58680470e-10 -4.79455554e-06 1.68667442e-03 -1.58313856e-10 -6.81951727e-07 1.00802398e-03 3.16994326e-10
0.0135           -5.58571270e-06 2.69557554e-03 1.91769019e-10 -4.89181025e-06 1.70152669e-03 -1.54880161e-10 -6.93902457e-07 9.94048850e-04 3.46649180e-10
0.014            -5.66681355e-06 2.69710104e-03 2.09380579e-10 -4.96076823e-06 1.71612074e-03 -1.51749571e-10 -7.06045314e-07 9.80980303e-04 3.61130149e-10
0.0145           -5.86661488e-06 2.69936403e-03 1.93880403e-10 -5.16173840e-06 1.73041946e-03 -1.50199196e-10 -7.04876478e-07 9.68944562e-04 3.44079599e-10
0.015            -5.82085229e-06 2.70217271e-03 2.18731754e-10 -5.11166648e-06 1.74453039e-03 -1.46023607e-10 -7.09185804e-07 9.57642322e-04 3.64755361e-10
0.0155           -5.82362472e-06 2.70608868e-03 2.32516048e-10 -5.11008917e-06 1.75904635e-03 -1.42869532e-10 -7.13535552e-07 9.47042327e-04 3.75385580e-10
0.016            -5.80067497e-06 2.71059823e-03 2.69053120e-10 -5.07735400e-06 1.77354913e-03 -1.39815575e-10 -7.23320967e-07 9.37049099e-04 4.08868695e-10
0.0165           -5.87895584e-06 2.71569632e-03 2.68718598e-10 -5.15941768e-06 1.78809328e-03 -1.36752991e-10 -7.19538165e-07 9.27603042e-04 4.05471590e-10
0.017            -5.87757309e-06 2.72074033e-03 2.85191351e-10 -5.15412007e-06 1.80203380e-03 -1.33742997e-10 -7.23453024e-07 9.18706532e-04 4.18934348e-10
0.0175           -5.91071833e-06 2.72615772e-03 3.07079869e-10 -5.17673275e-06 1.81592548e-03 -1.30800242e-10 -7.33985584e-07 9.10232245e-04 4.37880111e-10
0.018            -5.74362193e-06 2.73148305e-03 3.35000954e-10 -4.99661963e-06 1.82922200e-03 -1.26910986e-10 -7.47002300e-07 9.02261047e-04 4.61911940e-10
0.0185           -5.93218686e-06 2.73789864e-03 3.39189632e-10 -5.17340777e-06 1.84314871e-03 -1.24676588e-10 -7.58779087e-07 8.94749936e-04 4.63866220e-10
0.019            -6.00614508e-06 2.74435179e-03 3.65634104e-10 -5.23238066e-06 1.85671421e-03 -1.21734030e-10 -7.73764412e-07 8.87637586e-04 4.87368135e-10
0.0195           -5.86433552e-06 2.75059305e-03 3.85210887e-10 -5.09096243e-06 1.86979151e-03 -1.18361153e-10 -7.73373089e-07 8.80801540e-04 5.03572040e-10
0.02             -6.26227563e-06 2.75642157e-03 3.85547968e-10 -5.48876760e-06 1.88216993e-03 -1.15845415e-10 -7.73508033e-07 8.74251640e-04 5.01393382e-10
0.0205           -5.65496710e-06 2.76232536e-03 3.90593400e-10 -4.88354607e-06 1.89421891e-03 -1.12913118e-10 -7.71421033e-07 8.68106458e-04 5.03506518e-10
0.021            -5.00764999e-06 2.76731997e-03 4.42279372e-10 -4.25043669e-06 1.90510940e-03 -1.09849420e-10 -7.57213302e-07 8.62210562e-04 5.52128793e-10
0.0215           -6.13078810e-06 2.77323625e-03 4.67996100e-10 -5.37054200e-06 1.91672628e-03 -1.06963262e-10 -7.60246100e-07 8.56509972e-04 5.74959361e-10
0.022            -4.83595574e-06 2.77988617e-03 4.86570183e-10 -4.07739166e-06 1.92883179e-03 -1.03837018e-10 -7.58564088e-07 8.51054377e-04 5.90407202e-10
