"time","u","e"
0,0,0
0.01,-0,-0.490179
0.02,0,-0.460908
0.03,0,-0.412763
0.04,0,-0.34669
0.05,0,-0.263985
0.06,0,-0.166274
0.07,0,-0.055476
0.08,0,0.066233
0.09,0,0.196462
0.1,0,0.332653
0.11,0,0.472132
0.12,0,0.612158
0.13,0,0.74998
0.14,0,0.882893
0.15,0,1.00828
0.16,0,1.12369
0.17,0,1.22685
0.18,0,1.31573
0.19,0,1.38859
0.2,0,1.44399
0.21,0,1.48085
0.22,0,1.49845
0.23,0,1.49643
0.24,0,1.47484
0.25,0,1.4341
0.26,0,1.37502
0.27,0,1.29875
0.28,0,1.20679
0.29,0,1.10094
0.3,0,0.983294
0.31,0,0.856152
0.32,0,0.722016
0.33,0,0.583518
0.34,0,0.44338
0.35,0,0.304354
0.36,0,0.169171
0.37,0,0.0404858
0.38,-0,-0.0791732
0.39,-0,-0.187456
0.4,-0,-0.282235
0.41,-0,-0.36165
0.42,-0,-0.42414
0.43,-0,-0.468477
0.44,-0,-0.493792
0.45,-0,-0.499586
0.46,0,-0.485746
0.47,0,-0.452544
0.48,0,-0.400631
0.49,0,-0.331028
0.5,0,-0.245102
0.51,0,-0.144541
0.52,0,-0.0313187
0.53,0,0.0923395
0.54,0,0.224005
0.55,0,0.361092
0.56,0,0.500907
0.57,0,0.640704
0.58,0,0.777738
0.59,0,0.909316
0.6,0,1.03285
0.61,0,1.14593
0.62,0,1.24631
0.63,0,1.33204
0.64,0,1.40142
0.65,0,1.45309
0.66,0,1.48605
0.67,0,1.49964
0.68,0,1.49359
0.69,0,1.46802
0.7,0,1.42345
0.71,0,1.36073
0.72,0,1.2811
0.73,0,1.18614
0.74,0,1.07769
0.75,0,0.957902
0.76,0,0.829117
0.77,0,0.693867
0.78,0,0.554809
0.79,0,0.414674
0.8,0,0.276216
0.81,0,0.142153
0.82,0,0.0151191
0.83,-0,-0.102391
0.84,-0,-0.208068
0.85,-0,-0.299838
0.86,-0,-0.375896
0.87,-0,-0.434751
0.88,-0,-0.475244
0.89,-0,-0.496582
0.9,-0,-0.498344
0.91,0,-0.480497
0.92,0,-0.44339
0.93,0,-0.387753
0.94,0,-0.314679
0.95,0,-0.225602
0.96,0,-0.122273
0.97,0,-0.00672148
0.98,0,0.118784
0.99,0,0.251777
1,0,0.389645
1.01,0,0.529682
1.02,0,0.669135
1.03,0,0.805266
1.04,0,0.935401
1.05,0,1.05698
1.06,0,1.16763
1.07,0,1.26515
1.08,0,1.34765
1.09,0,1.4135
1.1,0,1.46141
1.11,0,1.49043
1.12,0,1.5
1.13,0,1.48992
1.14,0,1.4604
1.15,0,1.41202
1.16,0,1.34572
1.17,0,1.26281
1.18,0,1.16492
1.19,0,1.05397
1.2,0,0.932132
1.21,0,0.801809
1.22,0,0.665558
1.23,0,0.526055
1.24,0,0.38604
1.25,0,0.248264
1.26,0,0.115432
1.27,-0,-0.00984604
1.28,-0,-0.125109
1.29,-0,-0.228094
1.3,-0,-0.316778
1.31,-0,-0.389418
1.32,-0,-0.444587
1.33,-0,-0.481203
1.34,-0,-0.498546
1.35,0,-0.496275
1.36,0,-0.474435
1.37,0,-0.433455
1.38,0,-0.37414
1.39,0,-0.297655
1.4,0,-0.205502
1.41,0,-0.0994907
1.42,0,0.0182954
1.43,0,0.145543
1.44,0,0.279754
1.45,0,0.41829
1.46,0,0.558431
1.47,0,0.697425
1.48,0,0.832541
1.49,0,0.961125
1.5,0,1.08065
1.51,0,1.18877
1.52,0,1.28336
1.53,0,1.36257
1.54,0,1.42483
1.55,0,1.46893
1.56,0,1.49399
1.57,0,1.49953
1.58,0,1.48544
1.59,0,1.45199
1.6,0,1.39984
1.61,0,1.33002
1.62,0,1.24389
1.63,0,1.14315
1.64,0,1.02978
1.65,0,0.906003
1.66,0,0.774251
1.67,0,0.637111
1.68,0,0.497279
1.69,0,0.3575
1.7,0,0.22052
1.71,0,0.0890291
1.72,-0,-0.0343889
1.73,-0,-0.14731
1.74,-0,-0.247517
1.75,-0,-0.333041
1.76,-0,-0.402202
1.77,-0,-0.453642
1.78,-0,-0.48635
1.79,-0,-0.499684
1.8,0,-0.493382
1.81,0,-0.467567
1.82,0,-0.422747
1.83,0,-0.359803
1.84,0,-0.27997
1.85,0,-0.184816
1.86,0,-0.0762116
1.87,0,0.0437112
1.88,0,0.172597
1.89,0,0.307913
1.9,0,0.447002
1.91,0,0.587133
1.92,0,0.725552
1.93,0,0.85954
1.94,0,0.986467
1.95,0,1.10384
1.96,0,1.20935
1.97,0,1.30093
1.98,0,1.37677
1.99,0,1.43539
2,0,1.47564
2.01,1159.18,1.46789
2.02,877.133,1.36164
2.03,506.468,1.15338
2.04,160.989,0.881257
2.05,-126.635,0.58419
2.06,-338.952,0.296198
2.07,-469.458,0.0439025
2.08,-520.96,-0.154684
2.09,-503.507,-0.290287
2.1,-432.017,-0.361607
2.11,-323.872,-0.373926
2.12,-196.737,-0.337323
2.13,-66.7669,-0.264767
2.14,52.6975,-0.170283
2.15,151.903,-0.067374
2.16,224.958,0.0322148
2.17,269.673,0.119312
2.18,287.07,0.187731
2.19,280.664,0.23431
2.2,255.643,0.258642
2.21,218.032,0.26259
2.22,173.946,0.249665
2.23,128.965,0.224371
2.24,87.6896,0.191566
2.25,53.4753,0.155917
2.26,28.3398,0.12148
2.27,13.0206,0.0914134
2.28,7.14726,0.0678418
2.29,9.49027,0.0518432
2.3,18.2463,0.0435435
2.31,31.3255,0.0422864
2.32,46.6127,0.0468478
2.33,62.1796,0.0556647
2.34,76.44,0.0670545
2.35,88.2395,0.0794031
2.36,96.8873,0.091311
2.37,102.135,0.10169
2.38,104.117,0.10981
2.39,103.262,0.115305
2.4,100.199,0.118135
2.41,95.6507,0.118533
2.42,90.35,0.116924
2.43,84.9628,0.113851
2.44,80.0361,0.109896
2.45,75.9669,0.105619
2.46,72.9918,0.101502
2.47,71.1943,0.0979189
2.48,70.5261,0.0951215
2.49,70.8369,0.0932345
2.5,71.9085,0.0922694
2.51,73.4899,0.0921449
2.52,75.3278,0.0927123
2.53,77.1921,0.0937833
2.54,78.8942,0.0951561
2.55,80.2974,0.0966377
2.56,81.3209,0.0980613
2.57,81.9365,0.099298
2.58,82.1616,0.100262
2.59,82.0489,0.10091
2.6,81.6741,0.101239
2.61,81.1243,0.101277
2.62,80.487,0.101077
2.63,79.8419,0.100704
2.64,79.2539,0.100227
2.65,78.77,0.0997143
2.66,78.4179,0.099222
2.67,78.2071,0.0987952
2.68,78.1313,0.0984632
2.69,78.1721,0.0982407
2.7,78.3032,0.0981286
2.71,78.4944,0.0981168
2.72,78.7153,0.0981873
2.73,78.9385,0.0983173
2.74,79.1417,0.0984827
2.75,79.3085,0.0986605
2.76,79.4296,0.0988307
2.77,79.5018,0.098978
2.78,79.5273,0.0990923
2.79,79.5126,0.0991687
2.8,79.4667,0.0992069
2.81,79.4003,0.0992105
2.82,79.3237,0.0991857
2.83,79.2464,0.0991403
2.84,79.1763,0.0990829
2.85,79.1187,0.0990214
2.86,79.0771,0.0989625
2.87,79.0524,0.0989117
2.88,79.0438,0.0988723
2.89,79.0491,0.0988461
2.9,79.0651,0.0988331
2.91,79.0882,0.098832
2.92,79.1148,0.0988408
2.93,79.1415,0.0988565
2.94,79.1658,0.0988765
2.95,79.1856,0.0988978
2.96,79.1999,0.0989181
2.97,79.2084,0.0989357
2.98,79.2113,0.0989492
2.99,79.2093,0.0989582
3,79.2037,0.0989627
3.01,79.1957,0.098963
3.02,79.1865,0.0989599
3.03,79.1773,0.0989544
3.04,79.1689,0.0989475
3.05,79.1621,0.0989401
3.06,79.1571,0.0989331
3.07,79.1542,0.098927
3.08,79.1533,0.0989223
3.09,79.1539,0.0989193
3.1,79.1559,0.0989177
3.11,79.1587,0.0989177
3.12,79.1619,0.0989187
3.13,79.1651,0.0989207
3.14,79.168,0.0989231
3.15,79.1703,0.0989256
3.16,79.172,0.098928
3.17,79.173,0.0989301
3.18,79.1733,0.0989317
3.19,79.1731,0.0989328
3.2,79.1724,0.0989333
3.21,79.1714,0.0989333
3.22,79.1703,0.098933
3.23,79.1692,0.0989323
3.24,79.1682,0.0989315
3.25,79.1674,0.0989306
3.26,79.1668,0.0989297
3.27,79.1665,0.098929
3.28,79.1664,0.0989285
3.29,79.1665,0.0989281
3.3,79.1667,0.0989279
3.31,79.1671,0.0989279
3.32,79.1674,0.098928
3.33,79.1678,0.0989283
3.34,79.1682,0.0989286
3.35,79.1684,0.0989289
3.36,79.1686,0.0989292
3.37,79.1688,0.0989294
3.38,79.1688,0.0989296
3.39,79.1688,0.0989297
3.4,79.1687,0.0989298
3.41,79.1686,0.0989298
3.42,79.1684,0.0989297
3.43,79.1683,0.0989297
3.44,79.1682,0.0989296
3.45,79.1681,0.0989295
3.46,79.168,0.0989294
3.47,79.168,0.0989293
3.48,79.168,0.0989292
3.49,79.168,0.0989292
3.5,79.168,0.0989291
3.51,79.168,0.0989291
3.52,79.1681,0.0989292
3.53,79.1681,0.0989292
3.54,79.1682,0.0989292
3.55,79.1682,0.0989293
3.56,79.1682,0.0989293
3.57,79.1683,0.0989293
3.58,79.1683,0.0989293
3.59,79.1683,0.0989294
3.6,79.1682,0.0989294
3.61,79.1682,0.0989294
3.62,79.1682,0.0989294
3.63,79.1682,0.0989294
3.64,79.1682,0.0989293
3.65,79.1682,0.0989293
3.66,79.1682,0.0989293
3.67,79.1682,0.0989293
3.68,79.1682,0.0989293
3.69,79.1682,0.0989293
3.7,79.1682,0.0989293
3.71,79.1682,0.0989293
3.72,79.1682,0.0989293
3.73,79.1682,0.0989293
3.74,79.1682,0.0989293
3.75,79.1682,0.0989293
3.76,79.1682,0.0989293
3.77,79.1682,0.0989293
3.78,79.1682,0.0989293
3.79,79.1682,0.0989293
3.8,79.1682,0.0989293
3.81,79.1682,0.0989293
3.82,79.1682,0.0989293
3.83,79.1682,0.0989293
3.84,79.1682,0.0989293
3.85,79.1682,0.0989293
3.86,79.1682,0.0989293
3.87,79.1682,0.0989293
3.88,79.1682,0.0989293
3.89,79.1682,0.0989293
3.9,79.1682,0.0989293
3.91,79.1682,0.0989293
3.92,79.1682,0.0989293
3.93,79.1682,0.0989293
3.94,79.1682,0.0989293
3.95,79.1682,0.0989293
3.96,79.1682,0.0989293
3.97,79.1682,0.0989293
3.98,79.1682,0.0989293
3.99,79.1682,0.0989293
4,79.1682,0.0989293
4.01,79.1682,0.0989293
4.02,79.1682,0.0989293
4.03,79.1682,0.0989293
4.04,79.1682,0.0989293
4.05,79.1682,0.0989293
4.06,79.1682,0.0989293
4.07,79.1682,0.0989293
4.08,79.1682,0.0989293
4.09,79.1682,0.0989293
4.1,79.1682,0.0989293
4.11,79.1682,0.0989293
4.12,79.1682,0.0989293
4.13,79.1682,0.0989293
4.14,79.1682,0.0989293
4.15,79.1682,0.0989293
4.16,79.1682,0.0989293
4.17,79.1682,0.0989293
4.18,79.1682,0.0989293
4.19,79.1682,0.0989293
4.2,79.1682,0.0989293
4.21,79.1682,0.0989293
4.22,79.1682,0.0989293
4.23,79.1682,0.0989293
4.24,79.1682,0.0989293
4.25,79.1682,0.0989293
4.26,79.1682,0.0989293
4.27,79.1682,0.0989293
4.28,79.1682,0.0989293
4.29,79.1682,0.0989293
4.3,79.1682,0.0989293
4.31,79.1682,0.0989293
4.32,79.1682,0.0989293
4.33,79.1682,0.0989293
4.34,79.1682,0.0989293
4.35,79.1682,0.0989293
4.36,79.1682,0.0989293
4.37,79.1682,0.0989293
4.38,79.1682,0.0989293
4.39,79.1682,0.0989293
4.4,79.1682,0.0989293
4.41,79.1682,0.0989293
