"time","mass.u","mass.v"
0,1,0
0.01,0.99021,-1.95808
0.02,0.961152,-3.85338
0.03,0.913759,-5.62527
0.04,0.849545,-7.21746
0.05,0.770559,-8.5799
0.06,0.679306,-9.67052
0.07,0.57867,-10.4567
0.08,0.471804,-10.9165
0.09,0.362026,-11.0391
0.1,0.252703,-10.8256
0.11,0.147132,-10.2885
0.12,0.0484307,-9.45178
0.13,-0.040575,-8.34938
0.14,-0.117445,-7.02453
0.15,-0.180207,-5.52799
0.16,-0.227428,-3.91622
0.17,-0.258257,-2.24948
0.18,-0.272452,-0.58959
0.19,-0.270389,1.00218
0.2,-0.253042,2.46732
0.21,-0.221944,3.75213
0.22,-0.179136,4.80965
0.23,-0.127081,5.60129
0.24,-0.0685834,6.09819
0.25,-0.00668101,6.28228
0.26,0.0554647,6.14687
0.27,0.114684,5.69692
0.28,0.167912,4.94885
0.29,0.212307,3.92998
0.3,0.245344,2.67753
0.31,0.264918,1.23732
0.32,0.269416,-0.337842
0.33,0.257776,-1.99003
0.34,0.229535,-3.65826
0.35,0.18484,-5.28065
0.36,0.124454,-6.79659
0.37,0.0497266,-8.14892
0.38,-0.0374477,-9.28594
0.39,-0.134694,-10.1632
0.4,-0.239236,-10.7453
0.41,-0.347996,-11.0067
0.42,-0.457697,-10.9333
0.43,-0.564974,-10.5222
0.44,-0.666497,-9.78241
0.45,-0.759081,-8.73439
0.46,-0.839799,-7.40921
0.47,-0.906083,-5.84761
0.48,-0.955814,-4.09858
0.49,-0.987395,-2.21762
0.5,-0.999807,-0.264823
0.51,-0.992645,1.6972
0.52,-0.966132,3.60551
0.53,-0.921109,5.39905
0.54,-0.85901,7.02076
0.55,-0.781808,8.41954
0.56,-0.69195,9.55206
0.57,-0.592269,10.3842
0.58,-0.485886,10.8924
0.59,-0.376102,11.0642
0.6,-0.266286,10.8989
0.61,-0.159754,10.4075
0.62,-0.059657,9.61199
0.63,0.0311287,8.54516
0.64,0.110099,7.24893
0.65,0.175209,5.77302
0.66,0.22494,4.17321
0.67,0.258353,2.50931
0.68,0.275115,0.843071
0.69,0.27551,-0.76402
0.7,0.260425,-2.2529
0.71,0.231315,-3.56905
0.72,0.190148,-4.66438
0.73,0.139332,-5.49895
0.74,0.0816248,-6.04241
0.75,0.0200377,-6.27502
0.76,-0.0422794,-6.18839
0.77,-0.10215,-5.78575
0.78,-0.156488,-5.08186
0.79,-0.20241,-4.10246
0.8,-0.237339,-2.88338
0.81,-0.259102,-1.46925
0.82,-0.266008,0.0880207
0.83,-0.256912,1.73117
0.84,-0.231259,3.39952
0.85,-0.189105,5.0312
0.86,-0.131123,6.56528
0.87,-0.0585768,7.94395
0.88,0.026716,9.1146
0.89,0.122447,10.0316
0.9,0.225896,10.6582
0.91,0.334023,10.9672
0.92,0.443573,10.9428
0.93,0.55119,10.5806
0.94,0.653531,9.88767
0.95,0.747384,8.8829
0.96,0.829778,7.59584
0.97,0.898087,6.0659
0.98,0.950121,4.34093
0.99,0.984203,2.47559
1,0.999229,0.529445
1,0.999229,0.529445
