"time","mass.u","mass.v"
0,0,0
0.01,0.00781845,1.56369
0.02,0.0309676,3.06614
0.03,0.0685399,4.4483
0.04,0.119058,5.6554
0.05,0.18053,6.6389
0.06,0.250516,7.35824
0.07,0.326218,7.78229
0.08,0.404582,7.89044
0.09,0.482401,7.67339
0.1,0.556435,7.13347
0.11,0.623526,6.28459
0.12,0.680708,5.15178
0.13,0.725318,3.77029
0.14,0.755091,2.18441
0.15,0.768243,0.445927
0.16,0.763534,-1.38773
0.17,0.740318,-3.25546
0.18,0.698568,-5.09461
0.19,0.638879,-6.84323
0.2,0.562452,-8.44218
0.21,0.471054,-9.83724
0.22,0.366963,-10.981
0.23,0.252885,-11.8346
0.24,0.131869,-12.3688
0.25,0.00719748,-12.5655
0.26,-0.117719,-12.4179
0.27,-0.239463,-11.931
0.28,-0.354726,-11.1214
0.29,-0.460416,-10.0167
0.3,-0.553772,-8.65439
0.31,-0.632447,-7.08076
0.32,-0.694597,-5.34912
0.33,-0.738933,-3.51803
0.34,-0.764769,-1.64917
0.35,-0.772041,0.194776
0.36,-0.761305,1.95234
0.37,-0.733716,3.56539
0.38,-0.690983,4.98121
0.39,-0.635306,6.15429
0.4,-0.569295,7.04794
0.41,-0.495877,7.63556
0.42,-0.418192,7.90156
0.43,-0.339475,7.84188
0.44,-0.262945,7.46411
0.45,-0.191688,6.78722
0.46,-0.128547,5.84086
0.47,-0.0760219,4.66427
0.48,-0.036176,3.30491
0.49,-0.0105677,1.81675
0.5,-0.000192346,0.258333
0.51,-0.00544707,-1.30928
0.52,-0.026117,-2.82471
0.53,-0.0613829,-4.22846
0.54,-0.10985,-5.46499
0.55,-0.169599,-6.48472
0.56,-0.238251,-7.24582
0.57,-0.313059,-7.71568
0.58,-0.390998,-7.87208
0.59,-0.468878,-7.70401
0.6,-0.543459,-7.21209
0.61,-0.611562,-6.40852
0.62,-0.670188,-5.31672
0.63,-0.716624,-3.97052
0.64,-0.748541,-2.41295
0.65,-0.76408,-0.69478
0.66,-0.761918,1.12726
0.67,-0.741319,2.99249
0.68,-0.702165,4.83836
0.69,-0.644959,6.60267
0.7,-0.570817,8.22576
0.71,-0.481426,9.65254
0.72,-0.37899,10.8345
0.73,-0.266161,11.7314
0.74,-0.145941,12.3126
0.75,-0.0215871,12.5582
0.76,0.103503,12.4598
0.77,0.225905,12.0206
0.78,0.342286,11.2556
0.79,0.449519,10.1908
0.8,0.544784,8.86224
0.81,0.62567,7.31508
0.82,0.690254,5.6017
0.83,0.737163,3.78001
0.84,0.76562,1.91138
0.85,0.775469,0.0584817
0.86,0.767177,-1.71689
0.87,0.741813,-3.35599
0.88,0.701007,-4.80515
0.89,0.646893,-6.0177
0.9,0.582027,-6.95555
0.91,0.509296,-7.59055
0.92,0.431816,-7.90542
0.93,0.352817,-7.89439
0.94,0.275528,-7.56333
0.95,0.203064,-6.92957
0.96,0.13831,-6.02121
0.97,0.0838231,-4.87618
0.98,0.0417381,-3.54082
0.99,0.0136928,-2.06825
1,0.000769234,-0.516465
1,0.000769234,-0.516465
